127.0.0.1 - - [25/Mar/2024:09:13:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:13:57 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:13:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:15:40 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:15:41 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:26:34 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:33:30 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:38:19 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:44:04 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:49:06 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [25/Mar/2024:09:50:03 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:05:42 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:06:02 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:06:07 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:06:08 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:06:26 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:07:30 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:10:14 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:10:19 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:10:20 +0900] "GET /webPro/html/days02/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:10:24 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:18:55 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:19:28 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:19:38 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:19:39 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:19:42 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:19:42 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:19:47 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:20:06 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:20:50 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:20:51 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:20:52 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:20:52 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:20:55 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:24:22 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:24:23 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:31:21 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:31:50 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:31:51 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:31:51 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:37:59 +0900] "GET /webPro/html/days02/ex02.html HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:44:45 +0900] "GET /webPro/html/days03/ex03.html HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [25/Mar/2024:10:45:04 +0900] "GET /webPro/html/days02/ex03.html HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:04:54 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:05:26 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:05:26 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:05:27 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:05:31 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:05:31 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:08:07 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:08:59 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [25/Mar/2024:11:10:33 +0900] "GET /webPro/html/days02/ex04.html HTTP/1.1" 304 -
