0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:48:56 +0900] "GET /webPro/html/days03/ex03_coffee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:50:05 +0900] "GET /webPro/html/days03/ex03_coffee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:12:35 +0900] "GET /webPro/html/days03/ex04.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:12:35 +0900] "GET /webPro/html/images/img_white_flowers.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:12:35 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 200 102255
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:13:07 +0900] "GET /webPro/html/days03/ex04.html HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:13:07 +0900] "GET /webPro/html/images/img_white_flower.jpg HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:13:25 +0900] "GET /webPro/html/images/img_pink_flowers.jpg HTTP/1.1" 200 63178
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:13:48 +0900] "GET /webPro/html/images/img_orange_flowers.jpg HTTP/1.1" 200 5875
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:22:01 +0900] "GET /webPro/html/days03/ex05.html HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:22:18 +0900] "GET /webPro/html/days03/ex05.html HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:32:25 +0900] "GET /webPro/html/days03/ex06.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:32:47 +0900] "GET /webPro/html/days03/ex06.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:32:55 +0900] "GET /webPro/html/days03/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:32:56 +0900] "GET /webPro/html/days03/ex06.html HTTP/1.1" 304 -
